,heatingLevel,buildingAreaCategory,buildingShape,censusRegion,climateZone,ELHT1,HDD65C,HEATPC,HVACUpgrade,insulationUpgrade,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,roofConstuction,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory
79,1.0,9,1.0,4,2,1.0,1,3,2.0,2.0,2.0,4,10,8,100.0,2,9,2,2.0,6,2,0.0,2,4,4.0,6
81,1.0,8,2.0,3,1,1.0,4,3,2.0,2.0,2.0,4,10,9,100.0,1,2,2,2.0,6,2,0.0,2,6,4.0,8
125,0.0,4,2.0,8,1,2.0,2,3,2.0,2.0,2.0,4,4,1,100.0,2,10,4,2.0,4,1,0.0,2,4,3.0,9
126,1.0,3,2.0,3,1,2.0,4,3,2.0,2.0,1.0,4,4,2,100.0,2,4,2,2.0,6,3,0.0,2,3,2.0,7
131,0.0,8,2.0,2,2,2.0,1,3,1.0,1.0,4.0,4,9,3,100.0,1,5,1,2.0,6,2,0.0,3,7,2.0,6
140,1.0,3,2.0,5,2,1.0,2,3,2.0,2.0,1.0,4,4,1,100.0,1,3,3,2.0,4,1,0.0,1,4,2.0,4
146,0.0,2,1.0,2,1,2.0,2,3,2.0,2.0,2.0,4,2,3,100.0,1,2,1,2.0,2,4,0.0,2,7,2.0,2
167,0.0,8,2.0,3,1,2.0,3,3,1.0,2.0,4.0,4,10,994,84.0,1,1,2,1.0,6,6,0.0,1,5,5.0,4
198,1.0,7,11.0,5,2,1.0,2,3,2.0,2.0,2.0,4,7,6,95.0,1,1,3,2.0,6,1,0.0,2,4,4.0,6
204,1.0,3,2.0,5,2,1.0,1,2,2.0,2.0,5.0,4,3,1,100.0,1,3,3,2.0,5,5,0.0,2,5,2.0,9
227,1.0,9,2.0,9,5,1.0,2,3,2.0,2.0,2.0,4,10,995,97.0,2,2,4,2.0,1,2,0.0,2,4,5.0,8
234,1.0,3,0.0,4,1,2.0,3,2,1.0,1.0,2.0,4,2,3,33.0,2,2,2,2.0,6,1,1.0,2,2,0.0,1
263,1.0,6,2.0,2,2,1.0,2,3,2.0,2.0,2.0,4,6,3,100.0,2,3,1,2.0,1,3,0.0,2,4,2.0,4
365,1.0,7,3.0,4,2,1.0,2,3,2.0,2.0,2.0,4,9,4,99.0,1,2,2,2.0,1,2,0.0,2,4,3.0,8
378,0.0,2,1.0,3,1,2.0,4,2,2.0,2.0,3.0,4,2,3,100.0,1,4,2,2.0,4,1,0.0,1,3,1.0,2
485,1.0,3,2.0,7,2,1.0,1,3,2.0,2.0,5.0,4,2,1,100.0,2,9,3,2.0,5,4,0.0,3,3,3.0,6
521,0.0,9,4.0,5,2,2.0,1,3,1.0,1.0,4.0,4,10,8,80.0,1,8,3,2.0,2,1,0.0,2,7,4.0,1
564,1.0,8,11.0,3,1,1.0,3,3,1.0,1.0,2.0,4,8,3,100.0,1,2,2,2.0,1,1,0.0,2,6,4.0,6
583,1.0,8,1.0,5,2,1.0,2,3,1.0,1.0,2.0,4,8,994,95.0,2,1,3,1.0,1,1,0.0,2,4,4.0,9
683,0.0,7,0.0,2,1,2.0,3,3,1.0,2.0,3.0,4,8,10,98.0,2,2,1,2.0,6,1,0.0,3,4,0.0,1
686,1.0,7,11.0,3,1,1.0,3,3,1.0,2.0,2.0,4,8,4,50.0,1,2,2,1.0,6,1,0.0,2,4,5.0,7
744,1.0,8,2.0,2,2,1.0,1,3,2.0,2.0,6.0,4,11,14,100.0,2,3,1,2.0,6,6,0.0,2,4,4.0,7
751,0.0,3,2.0,9,5,2.0,2,3,2.0,2.0,2.0,4,5,2,100.0,2,1,4,2.0,6,3,0.0,2,3,3.0,8
766,0.0,8,2.0,5,2,2.0,1,2,1.0,2.0,4.0,4,7,4,80.0,1,4,3,2.0,7,3,0.0,3,5,2.0,6
773,0.0,9,4.0,3,1,2.0,2,3,1.0,2.0,3.0,4,9,4,98.0,1,5,2,2.0,6,2,0.0,2,7,4.0,5
776,0.0,7,2.0,2,1,1.0,2,3,1.0,2.0,2.0,4,8,3,100.0,1,2,1,2.0,6,1,0.0,2,4,4.0,6
783,1.0,5,8.0,2,1,1.0,2,3,0.0,0.0,5.0,4,6,4,100.0,1,6,1,0.0,6,1,0.0,2,6,4.0,10
788,1.0,3,2.0,4,2,1.0,2,3,2.0,1.0,1.0,4,5,3,100.0,2,10,2,2.0,5,1,0.0,2,3,2.0,1
808,0.0,6,4.0,3,1,2.0,2,2,1.0,1.0,3.0,4,7,4,90.0,2,10,2,2.0,4,1,0.0,3,4,3.0,3
817,1.0,2,2.0,7,2,1.0,1,2,2.0,2.0,2.0,4,3,1,100.0,2,2,3,2.0,5,3,0.0,2,3,2.0,3
823,1.0,10,2.0,3,7,1.0,2,3,2.0,2.0,6.0,4,10,995,85.0,1,2,2,2.0,6,2,0.0,2,4,6.0,6
837,1.0,2,2.0,4,1,1.0,3,1,2.0,2.0,2.0,4,2,2,100.0,2,3,2,2.0,4,3,0.0,2,3,3.0,1
928,1.0,4,2.0,3,1,2.0,4,3,2.0,2.0,2.0,4,4,2,100.0,2,3,2,2.0,4,4,2.0,2,4,2.0,7
1003,1.0,3,2.0,2,1,1.0,4,3,2.0,2.0,2.0,4,4,2,100.0,2,2,1,2.0,2,1,2.0,2,3,1.0,5
1099,1.0,8,3.0,5,2,1.0,1,3,1.0,1.0,2.0,4,10,994,100.0,1,3,3,2.0,7,1,0.0,3,4,6.0,8
1124,0.0,9,11.0,5,2,2.0,1,3,1.0,2.0,3.0,4,10,8,95.0,1,8,3,2.0,1,3,2.0,1,4,4.0,5
1192,1.0,6,1.0,2,1,1.0,2,3,2.0,2.0,2.0,4,6,5,75.0,2,2,1,2.0,6,2,0.0,2,5,4.0,6
1195,0.0,5,0.0,3,1,2.0,2,3,2.0,2.0,3.0,4,7,9,95.0,2,3,2,2.0,6,1,0.0,1,4,0.0,1
1219,0.0,6,2.0,8,1,2.0,3,3,1.0,1.0,3.0,4,7,6,100.0,1,9,4,1.0,6,1,0.0,2,4,4.0,3
1267,0.0,4,11.0,3,1,2.0,3,3,2.0,2.0,2.0,4,5,3,80.0,1,3,2,2.0,6,1,0.0,2,5,3.0,6
1286,1.0,6,2.0,1,1,1.0,2,2,1.0,2.0,5.0,4,7,7,88.0,2,2,1,2.0,6,1,0.0,2,4,2.0,1
1304,1.0,2,2.0,7,2,1.0,1,3,2.0,2.0,2.0,4,4,1,75.0,2,2,3,2.0,5,5,0.0,2,3,3.0,8
1358,1.0,7,2.0,1,1,1.0,3,3,2.0,2.0,6.0,4,9,6,85.0,2,5,1,2.0,6,2,0.0,2,4,2.0,6
1360,1.0,9,3.0,5,2,1.0,1,2,2.0,2.0,2.0,4,10,14,100.0,2,2,3,2.0,1,2,0.0,2,4,5.0,7
1396,1.0,6,2.0,2,2,1.0,1,3,2.0,2.0,2.0,4,7,3,65.0,1,2,1,2.0,7,5,0.0,1,7,1.0,6
1401,0.0,5,11.0,1,1,2.0,3,3,1.0,1.0,2.0,4,7,1,100.0,2,2,1,2.0,6,3,0.0,2,4,2.0,6
1418,1.0,2,2.0,6,2,2.0,1,3,2.0,2.0,5.0,4,2,1,50.0,2,5,3,2.0,5,1,0.0,1,3,2.0,4
1450,0.0,2,1.0,3,1,2.0,4,3,2.0,2.0,2.0,4,3,3,100.0,2,5,2,2.0,4,1,0.0,3,3,2.0,2
1451,1.0,3,2.0,5,2,1.0,1,3,1.0,2.0,2.0,4,3,4,100.0,1,5,3,2.0,8,4,0.0,3,5,3.0,2
1495,1.0,6,3.0,1,1,2.0,2,3,1.0,1.0,2.0,4,7,2,100.0,1,3,1,2.0,6,3,1.0,2,4,1.0,5
1533,1.0,5,2.0,5,2,2.0,1,2,2.0,2.0,3.0,4,7,4,100.0,2,2,3,2.0,4,1,0.0,3,3,2.0,6
1544,1.0,8,9.0,3,1,2.0,2,3,2.0,2.0,2.0,4,10,4,80.0,1,2,2,2.0,1,2,2.0,2,6,4.0,9
1605,0.0,6,1.0,7,2,2.0,1,3,2.0,2.0,3.0,4,7,8,66.0,1,2,3,2.0,1,1,0.0,2,6,5.0,5
1616,1.0,6,2.0,5,2,2.0,2,3,2.0,2.0,2.0,4,7,1,100.0,1,3,3,2.0,6,1,0.0,2,7,2.0,7
1620,1.0,7,2.0,5,2,1.0,1,3,1.0,2.0,2.0,4,8,8,96.0,1,2,3,2.0,1,3,0.0,2,5,4.0,8
1681,0.0,2,2.0,8,1,2.0,3,3,2.0,2.0,2.0,4,2,1,100.0,1,3,4,2.0,5,5,0.0,2,4,3.0,9
1697,0.0,8,2.0,2,1,2.0,3,3,1.0,2.0,2.0,4,9,2,100.0,2,2,1,2.0,6,5,0.0,2,4,3.0,7
1811,1.0,2,2.0,5,2,2.0,1,3,2.0,2.0,2.0,4,3,1,100.0,2,2,3,2.0,1,3,0.0,3,3,2.0,4
1820,0.0,4,2.0,8,1,2.0,2,3,2.0,2.0,2.0,4,5,3,60.0,1,2,4,2.0,1,2,0.0,1,7,3.0,4
1875,1.0,5,2.0,7,2,1.0,1,3,2.0,2.0,2.0,4,6,3,65.0,2,3,3,2.0,4,1,0.0,2,4,3.0,9
1885,1.0,5,2.0,4,1,1.0,4,3,1.0,2.0,3.0,4,5,3,100.0,2,10,2,2.0,1,1,0.0,2,3,2.0,1
1886,1.0,6,1.0,5,2,1.0,2,3,2.0,2.0,2.0,4,7,8,85.0,1,2,3,2.0,6,1,0.0,2,5,4.0,6
1888,1.0,7,0.0,3,1,1.0,2,3,1.0,2.0,3.0,4,6,5,87.0,1,2,2,2.0,6,1,0.0,2,6,0.0,2
1902,1.0,5,4.0,5,2,1.0,1,3,2.0,2.0,2.0,4,6,2,90.0,2,2,3,2.0,1,1,0.0,2,4,4.0,6
1969,1.0,8,2.0,2,1,1.0,2,2,1.0,2.0,2.0,4,10,4,100.0,1,2,1,2.0,6,3,0.0,1,7,3.0,6
1982,1.0,7,9.0,4,2,1.0,1,3,2.0,2.0,2.0,4,8,2,80.0,1,1,2,2.0,5,5,2.0,2,5,5.0,8
2030,0.0,2,1.0,3,1,2.0,1,3,1.0,2.0,1.0,4,2,2,100.0,2,3,2,2.0,4,3,0.0,3,3,2.0,4
2103,0.0,8,11.0,2,2,2.0,2,3,1.0,2.0,3.0,4,9,994,96.0,1,2,1,2.0,1,5,0.0,2,5,4.0,6
2118,1.0,3,2.0,5,2,1.0,1,3,2.0,2.0,5.0,4,4,2,100.0,1,2,3,2.0,2,1,0.0,2,4,3.0,6
2152,1.0,2,1.0,3,1,2.0,2,1,2.0,2.0,7.0,4,2,2,100.0,1,3,2,2.0,4,4,0.0,3,2,2.0,8
2197,1.0,2,1.0,1,1,2.0,4,3,2.0,2.0,2.0,1,3,2,100.0,2,1,1,2.0,1,1,0.0,1,3,2.0,2
2209,1.0,8,2.0,5,2,1.0,1,2,2.0,2.0,2.0,4,9,13,75.0,2,2,3,2.0,6,1,0.0,2,4,3.0,5
2240,0.0,7,2.0,8,1,2.0,3,3,1.0,2.0,4.0,4,8,7,80.0,2,9,4,2.0,6,2,0.0,2,4,3.0,5
2241,0.0,8,0.0,8,1,2.0,2,3,2.0,2.0,3.0,4,10,995,95.0,2,2,4,2.0,6,6,0.0,1,4,0.0,5
2353,1.0,7,2.0,8,3,1.0,1,3,1.0,1.0,2.0,4,8,12,91.0,2,2,4,2.0,6,1,0.0,2,4,5.0,6
2370,0.0,4,1.0,2,1,2.0,3,3,1.0,2.0,5.0,4,5,3,100.0,2,5,1,2.0,4,4,0.0,2,4,4.0,4
2371,1.0,2,2.0,4,2,2.0,1,3,2.0,2.0,1.0,4,4,1,100.0,2,2,2,2.0,1,4,0.0,2,3,2.0,7
2443,0.0,3,9.0,3,1,2.0,4,3,2.0,2.0,1.0,4,3,1,100.0,1,5,2,2.0,4,4,0.0,2,4,3.0,7
2507,1.0,9,2.0,5,2,1.0,1,3,0.0,0.0,2.0,4,10,994,100.0,2,2,3,0.0,2,1,0.0,2,4,6.0,10
2509,1.0,10,2.0,9,7,1.0,2,2,1.0,2.0,6.0,4,11,995,99.0,2,10,4,2.0,6,1,0.0,2,4,4.0,6
2537,1.0,2,0.0,2,2,1.0,2,2,1.0,2.0,6.0,4,2,3,100.0,1,2,1,2.0,6,1,0.0,1,7,0.0,3
2585,1.0,5,9.0,5,2,2.0,3,3,2.0,2.0,3.0,4,6,2,100.0,1,2,3,2.0,4,1,0.0,2,4,3.0,9
2603,0.0,2,1.0,1,1,2.0,2,1,2.0,2.0,3.0,4,3,3,75.0,2,2,1,2.0,4,4,0.0,3,3,1.0,1
2611,0.0,8,2.0,3,1,2.0,2,3,1.0,2.0,3.0,4,9,11,90.0,1,2,2,2.0,6,1,0.0,3,4,3.0,2
2616,1.0,10,2.0,3,7,1.0,1,3,1.0,1.0,6.0,4,11,995,87.0,1,2,2,1.0,1,6,0.0,2,7,5.0,6
2622,0.0,5,2.0,2,2,2.0,2,3,1.0,2.0,2.0,4,7,3,40.0,1,2,1,2.0,6,1,0.0,2,4,6.0,8
2702,0.0,5,0.0,2,1,2.0,3,1,1.0,1.0,6.0,4,4,5,35.0,2,5,1,2.0,8,1,0.0,1,3,0.0,1
2722,1.0,6,2.0,2,2,1.0,1,3,2.0,2.0,5.0,4,7,3,93.0,1,1,1,2.0,6,9,0.0,2,4,4.0,7
2729,0.0,8,10.0,8,1,2.0,2,3,1.0,1.0,3.0,4,9,2,95.0,1,2,4,2.0,6,1,0.0,2,6,3.0,6
2739,0.0,2,3.0,4,1,2.0,4,3,1.0,2.0,2.0,4,2,1,100.0,1,2,2,2.0,5,3,0.0,2,4,2.0,2
2820,1.0,8,9.0,4,2,1.0,1,3,2.0,2.0,6.0,4,9,4,90.0,1,2,2,2.0,6,2,2.0,2,7,3.0,9
2849,0.0,3,2.0,3,1,2.0,2,3,2.0,1.0,2.0,4,5,2,100.0,2,3,2,2.0,5,5,2.0,3,4,3.0,6
2885,0.0,7,1.0,4,1,2.0,4,3,1.0,2.0,3.0,4,8,8,52.0,1,2,2,2.0,4,2,0.0,2,5,3.0,5
2965,0.0,6,2.0,1,1,2.0,2,3,1.0,2.0,2.0,4,7,1,100.0,1,1,1,2.0,1,1,2.0,2,4,4.0,5
3156,1.0,5,2.0,4,2,1.0,2,3,2.0,2.0,2.0,4,5,2,75.0,1,1,2,2.0,1,1,0.0,2,5,3.0,5
3236,1.0,8,3.0,5,2,1.0,2,3,2.0,2.0,2.0,4,8,5,97.0,2,2,3,2.0,1,2,0.0,2,5,3.0,9
3277,1.0,3,0.0,5,2,1.0,1,2,2.0,2.0,2.0,4,4,4,80.0,1,2,3,2.0,2,1,0.0,3,5,0.0,1
3290,1.0,5,2.0,4,2,1.0,3,3,2.0,2.0,2.0,4,4,1,100.0,1,2,2,2.0,6,3,0.0,2,7,5.0,5
3387,0.0,2,0.0,7,2,1.0,1,3,2.0,2.0,2.0,4,3,1,100.0,2,2,3,2.0,1,1,0.0,2,3,0.0,2
3391,1.0,2,11.0,8,1,1.0,4,3,2.0,2.0,5.0,4,4,1,100.0,2,5,4,2.0,4,4,0.0,2,4,3.0,9
3416,0.0,7,11.0,2,1,2.0,1,3,1.0,2.0,3.0,4,8,4,90.0,1,3,1,2.0,1,8,0.0,1,5,4.0,6
3422,0.0,5,2.0,3,1,2.0,4,3,2.0,2.0,2.0,4,7,3,100.0,2,2,2,2.0,6,2,2.0,2,4,3.0,7
3437,0.0,2,3.0,4,1,2.0,3,2,2.0,2.0,2.0,4,2,2,100.0,2,2,2,2.0,4,3,0.0,3,4,2.0,3
3441,0.0,5,0.0,3,1,2.0,3,3,1.0,1.0,2.0,4,6,5,100.0,1,2,2,2.0,6,1,0.0,2,5,0.0,1
3484,1.0,3,2.0,2,2,1.0,2,3,2.0,2.0,2.0,4,2,2,75.0,1,3,1,1.0,4,3,2.0,1,3,3.0,3
3485,0.0,8,0.0,3,1,2.0,2,3,2.0,2.0,3.0,4,9,995,75.0,1,3,2,2.0,1,1,0.0,3,5,0.0,2
3502,0.0,4,2.0,3,1,2.0,3,3,2.0,2.0,2.0,4,6,1,100.0,2,2,2,2.0,6,3,2.0,2,5,3.0,6
3504,0.0,2,0.0,1,1,2.0,4,2,1.0,2.0,3.0,4,3,3,75.0,2,2,1,2.0,6,4,0.0,2,3,0.0,3
3509,0.0,2,1.0,1,1,2.0,2,3,2.0,2.0,2.0,4,2,3,100.0,1,3,1,2.0,3,4,2.0,2,5,3.0,7
3543,1.0,3,2.0,9,1,1.0,4,3,2.0,2.0,5.0,4,3,2,100.0,2,3,4,2.0,6,1,0.0,2,3,3.0,3
3558,1.0,7,2.0,5,2,1.0,1,3,2.0,2.0,3.0,4,7,7,82.0,2,1,3,2.0,6,1,0.0,2,4,4.0,7
3645,1.0,2,2.0,4,1,1.0,4,2,2.0,2.0,6.0,4,4,2,100.0,2,4,2,2.0,5,1,0.0,3,3,2.0,4
3647,1.0,4,2.0,5,2,1.0,1,3,1.0,2.0,5.0,4,5,3,100.0,2,3,3,2.0,5,1,0.0,2,4,3.0,6
3658,1.0,2,1.0,5,2,1.0,2,3,1.0,2.0,5.0,4,3,2,100.0,2,10,3,2.0,5,4,3.0,1,3,3.0,1
3665,1.0,10,3.0,4,7,2.0,4,3,2.0,2.0,3.0,4,12,9,100.0,1,2,2,2.0,1,2,0.0,2,5,5.0,8
3678,0.0,5,2.0,3,1,2.0,2,3,2.0,2.0,3.0,4,5,3,100.0,2,5,2,2.0,6,1,0.0,1,2,4.0,6
3682,0.0,5,2.0,4,2,2.0,2,3,2.0,2.0,2.0,4,7,1,100.0,1,2,2,2.0,4,1,0.0,3,3,3.0,6
3706,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,2,3,75.0,2,3,4,2.0,4,4,0.0,3,3,2.0,2
3724,0.0,6,2.0,9,5,2.0,2,3,2.0,2.0,2.0,4,8,2,100.0,1,1,4,2.0,6,3,1.0,2,7,4.0,7
3766,1.0,4,5.0,4,1,2.0,4,3,1.0,1.0,1.0,4,5,2,100.0,2,5,2,1.0,5,4,0.0,2,3,2.0,9
