,heatingLevel,buildingAreaCategory,buildingShape,censusRegion,climateZone,ELHT1,HDD65C,HEATPC,HVACUpgrade,insulationUpgrade,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,roofConstuction,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory
3797,0.0,2,0.0,7,2,2.0,1,3,2.0,2.0,2.0,4,2,1,100.0,2,2,3,2.0,6,1,0.0,1,2,0.0,3
3806,0.0,3,10.0,3,1,2.0,3,3,2.0,2.0,2.0,4,3,1,80.0,1,9,2,2.0,6,3,0.0,2,4,2.0,5
3812,0.0,3,11.0,3,1,2.0,3,2,2.0,2.0,2.0,4,5,3,100.0,1,2,2,2.0,1,3,0.0,2,4,3.0,8
3901,1.0,4,2.0,5,2,1.0,1,3,0.0,0.0,2.0,4,5,2,80.0,2,2,3,0.0,5,5,0.0,2,4,2.0,10
3926,1.0,8,2.0,5,2,1.0,2,3,1.0,2.0,2.0,3,8,9,90.0,2,1,3,2.0,1,6,0.0,2,4,4.0,6
3990,0.0,8,0.0,3,1,2.0,3,3,1.0,2.0,4.0,4,10,995,85.0,1,2,2,2.0,6,2,0.0,2,4,0.0,4
4005,0.0,2,2.0,5,2,2.0,1,2,2.0,2.0,2.0,4,2,2,100.0,1,2,3,2.0,3,4,0.0,2,3,3.0,7
4032,0.0,2,1.0,2,2,2.0,3,2,2.0,2.0,6.0,4,2,3,80.0,1,2,1,2.0,2,4,0.0,2,4,2.0,1
4034,1.0,2,2.0,5,2,1.0,1,3,1.0,2.0,2.0,4,4,1,100.0,2,2,3,2.0,6,1,0.0,2,3,3.0,6
4070,0.0,8,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,8,8,50.0,1,2,1,2.0,6,2,0.0,2,5,3.0,7
4072,1.0,7,3.0,4,2,1.0,1,3,2.0,2.0,2.0,4,9,2,50.0,2,2,2,2.0,5,1,0.0,2,4,3.0,7
4080,0.0,6,2.0,3,1,2.0,3,3,2.0,2.0,3.0,4,7,3,100.0,1,2,2,2.0,6,1,0.0,2,4,4.0,8
4173,1.0,2,2.0,5,2,1.0,1,3,2.0,2.0,5.0,4,3,1,100.0,1,8,3,2.0,4,4,0.0,2,5,4.0,6
4201,0.0,4,2.0,5,2,2.0,1,3,0.0,0.0,2.0,4,6,1,100.0,1,2,3,0.0,6,8,2.0,1,5,3.0,10
4221,0.0,6,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,8,1,80.0,2,2,1,2.0,4,1,0.0,2,4,2.0,7
4228,1.0,10,2.0,8,7,2.0,3,3,1.0,2.0,4.0,4,11,995,94.0,1,1,4,2.0,1,3,0.0,2,5,5.0,6
4234,1.0,2,2.0,7,2,1.0,1,2,2.0,2.0,5.0,4,2,1,100.0,2,10,3,2.0,6,1,0.0,2,3,4.0,3
4290,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,2,1,100.0,1,3,4,2.0,5,3,0.0,2,4,2.0,7
4291,0.0,8,2.0,9,5,2.0,1,3,1.0,2.0,3.0,4,10,6,99.0,1,9,4,2.0,1,3,0.0,1,4,4.0,2
4292,1.0,10,2.0,3,7,1.0,2,3,1.0,2.0,6.0,4,12,995,97.0,1,2,2,2.0,6,3,0.0,2,3,5.0,4
4293,1.0,6,10.0,9,1,1.0,4,3,2.0,2.0,1.0,4,3,1,100.0,2,8,4,2.0,5,3,0.0,3,4,2.0,7
4312,0.0,5,2.0,4,1,1.0,4,2,2.0,2.0,2.0,4,7,3,100.0,1,2,2,2.0,1,1,2.0,2,5,4.0,6
4313,1.0,3,1.0,4,1,2.0,4,3,2.0,2.0,1.0,4,4,2,100.0,1,10,2,2.0,4,1,0.0,2,7,2.0,4
4320,0.0,8,2.0,8,1,2.0,2,3,1.0,2.0,3.0,4,9,10,85.0,2,8,4,2.0,1,1,0.0,2,5,4.0,4
4337,0.0,4,2.0,2,1,2.0,3,3,2.0,2.0,1.0,4,4,2,50.0,1,3,1,2.0,4,1,0.0,2,4,2.0,7
4364,1.0,5,2.0,5,2,1.0,2,3,0.0,0.0,5.0,1,6,3,40.0,2,2,3,0.0,6,2,0.0,2,4,3.0,10
4367,0.0,6,11.0,3,1,2.0,1,3,2.0,2.0,3.0,4,6,5,90.0,2,10,2,2.0,6,3,0.0,2,4,5.0,5
4390,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,3,1,100.0,2,3,4,2.0,5,5,1.0,3,3,1.0,7
4429,1.0,8,0.0,5,2,1.0,1,2,0.0,0.0,2.0,4,8,994,75.0,2,1,3,0.0,4,6,0.0,3,4,0.0,10
4534,1.0,2,0.0,6,2,2.0,1,3,2.0,2.0,2.0,4,3,2,100.0,2,3,3,2.0,6,1,2.0,2,3,0.0,1
4628,1.0,2,2.0,5,2,1.0,1,2,1.0,1.0,6.0,4,2,3,100.0,1,3,3,2.0,4,3,0.0,1,4,3.0,2
4670,0.0,2,2.0,3,1,1.0,2,3,2.0,2.0,3.0,4,5,2,100.0,1,2,2,2.0,6,1,0.0,2,4,2.0,2
4675,0.0,3,2.0,2,1,2.0,2,3,2.0,2.0,2.0,4,4,1,85.0,1,3,1,2.0,4,4,0.0,2,4,2.0,7
4676,0.0,7,0.0,3,1,2.0,2,3,2.0,2.0,3.0,4,6,8,30.0,1,1,2,2.0,6,1,0.0,3,4,0.0,1
4707,0.0,2,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,2,3,75.0,1,3,1,2.0,4,4,0.0,1,4,1.0,2
4772,0.0,7,2.0,2,1,2.0,3,2,2.0,2.0,3.0,4,7,3,100.0,2,2,1,2.0,6,6,1.0,2,3,4.0,8
4873,1.0,2,2.0,4,2,1.0,1,3,2.0,2.0,2.0,4,4,2,75.0,1,2,2,2.0,5,1,0.0,2,4,2.0,8
4875,1.0,3,1.0,9,1,1.0,4,3,2.0,2.0,6.0,4,4,2,100.0,2,10,4,2.0,4,1,0.0,2,3,1.0,4
4876,0.0,5,2.0,3,1,2.0,2,3,2.0,2.0,2.0,4,6,2,100.0,2,2,2,2.0,6,2,0.0,2,4,2.0,7
4883,0.0,7,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,7,11,30.0,2,2,1,2.0,6,6,0.0,2,4,6.0,5
4900,0.0,3,1.0,2,1,2.0,4,3,1.0,2.0,3.0,4,3,3,100.0,2,3,1,2.0,4,1,0.0,2,4,1.0,1
4906,1.0,2,1.0,1,1,1.0,3,3,2.0,2.0,2.0,4,3,1,100.0,2,2,1,2.0,6,1,0.0,2,4,4.0,9
4910,1.0,7,2.0,3,1,1.0,2,3,2.0,2.0,2.0,4,8,4,85.0,1,2,2,2.0,6,1,0.0,2,5,3.0,6
4925,1.0,2,2.0,9,1,1.0,4,3,1.0,2.0,2.0,4,5,1,100.0,1,2,4,2.0,5,4,0.0,3,5,1.0,4
4926,0.0,2,2.0,4,1,2.0,4,2,1.0,1.0,2.0,4,2,3,100.0,2,3,2,2.0,4,1,0.0,3,2,3.0,1
4983,0.0,2,2.0,8,1,2.0,4,3,1.0,1.0,2.0,4,2,2,100.0,1,3,4,1.0,2,4,0.0,3,3,2.0,1
5031,1.0,2,2.0,2,1,1.0,4,3,2.0,2.0,6.0,4,3,3,100.0,2,2,1,1.0,6,1,0.0,1,3,2.0,1
5034,1.0,9,11.0,2,2,2.0,3,3,1.0,2.0,4.0,4,10,995,100.0,1,1,1,2.0,1,1,0.0,2,7,6.0,6
5038,1.0,8,2.0,1,1,1.0,4,3,1.0,2.0,3.0,4,8,4,100.0,2,3,1,2.0,6,7,0.0,3,3,2.0,6
5077,1.0,7,1.0,2,1,1.0,2,3,1.0,2.0,5.0,4,8,4,75.0,2,2,1,2.0,6,2,0.0,2,4,3.0,6
5100,1.0,6,2.0,2,1,1.0,2,3,2.0,2.0,2.0,4,7,5,75.0,1,2,1,2.0,4,3,0.0,2,4,4.0,7
5135,0.0,6,9.0,3,1,2.0,3,3,1.0,2.0,4.0,4,7,4,95.0,2,6,2,2.0,1,3,0.0,1,4,3.0,5
5145,1.0,7,2.0,7,2,2.0,1,2,2.0,2.0,6.0,4,8,3,85.0,1,2,3,2.0,6,2,0.0,2,5,2.0,8
5151,0.0,2,0.0,3,1,2.0,2,3,1.0,2.0,2.0,4,3,1,100.0,1,2,2,2.0,1,1,0.0,2,4,0.0,3
5153,0.0,5,2.0,5,2,1.0,1,3,2.0,2.0,2.0,4,5,1,75.0,1,10,3,2.0,6,1,0.0,3,7,4.0,9
5181,0.0,8,2.0,2,2,2.0,1,3,1.0,1.0,2.0,4,10,3,95.0,1,3,1,2.0,1,1,0.0,3,7,3.0,6
5189,1.0,4,1.0,5,2,2.0,1,3,2.0,2.0,2.0,1,5,1,50.0,2,2,3,2.0,4,1,0.0,2,4,6.0,6
5200,0.0,2,2.0,3,1,2.0,3,3,1.0,2.0,6.0,4,2,1,80.0,2,10,2,2.0,4,3,0.0,2,2,3.0,2
5219,1.0,10,6.0,5,7,1.0,2,2,2.0,2.0,2.0,4,10,8,95.0,1,10,3,2.0,6,2,0.0,2,7,5.0,7
5233,1.0,5,1.0,4,1,2.0,4,3,1.0,1.0,2.0,4,5,2,45.0,2,2,2,1.0,6,1,0.0,3,4,2.0,3
5249,0.0,2,1.0,5,2,1.0,1,3,1.0,2.0,2.0,4,2,3,100.0,2,3,3,2.0,4,4,0.0,1,4,2.0,3
5266,1.0,5,2.0,5,2,1.0,1,3,2.0,2.0,2.0,4,6,4,90.0,1,1,3,2.0,1,1,1.0,2,4,3.0,5
5278,1.0,2,2.0,4,1,1.0,4,3,0.0,0.0,5.0,4,3,1,100.0,1,9,2,0.0,5,4,0.0,2,5,3.0,10
5282,1.0,3,3.0,9,5,1.0,2,2,2.0,2.0,5.0,4,2,3,100.0,1,3,4,2.0,2,4,0.0,3,4,2.0,6
5302,0.0,2,2.0,3,1,2.0,2,3,2.0,2.0,1.0,4,3,1,100.0,2,2,2,2.0,4,3,0.0,2,3,2.0,5
5308,1.0,2,2.0,5,2,2.0,1,3,2.0,2.0,2.0,4,5,1,95.0,2,9,3,2.0,5,4,0.0,1,3,2.0,7
5319,0.0,5,2.0,3,1,2.0,2,3,2.0,2.0,3.0,4,6,3,55.0,1,5,2,2.0,1,2,0.0,2,4,2.0,5
5340,0.0,5,2.0,2,2,2.0,1,3,1.0,2.0,3.0,4,4,1,100.0,2,2,1,2.0,6,5,0.0,1,4,1.0,6
5365,0.0,2,2.0,4,1,2.0,4,3,1.0,2.0,1.0,4,2,1,100.0,2,2,2,2.0,6,1,0.0,2,4,2.0,5
5370,0.0,5,2.0,5,2,2.0,2,3,2.0,2.0,3.0,4,7,2,100.0,1,9,3,2.0,5,1,0.0,3,7,4.0,5
5390,0.0,4,0.0,5,2,2.0,1,3,1.0,2.0,1.0,4,6,2,100.0,1,2,3,2.0,5,3,2.0,1,6,0.0,5
5404,1.0,9,3.0,2,1,2.0,4,1,2.0,2.0,6.0,4,9,5,33.0,1,2,1,2.0,1,3,0.0,4,4,1.0,1
5463,0.0,9,0.0,2,2,2.0,1,3,1.0,1.0,4.0,4,11,995,90.0,1,3,1,2.0,6,1,0.0,2,5,0.0,2
5469,0.0,5,5.0,3,1,2.0,4,3,2.0,2.0,2.0,4,5,2,25.0,2,5,2,2.0,4,3,1.0,3,3,3.0,9
5482,0.0,2,3.0,3,1,2.0,3,3,2.0,2.0,2.0,4,2,1,100.0,2,3,2,2.0,3,4,1.0,2,3,3.0,7
5489,1.0,4,2.0,9,1,1.0,4,3,2.0,2.0,2.0,4,4,3,66.0,2,2,4,2.0,1,1,0.0,2,3,3.0,2
5518,0.0,8,0.0,3,1,2.0,4,3,1.0,2.0,4.0,4,7,6,98.0,1,9,2,2.0,6,8,0.0,3,3,0.0,9
5537,0.0,2,8.0,2,1,2.0,2,3,2.0,2.0,3.0,4,2,2,100.0,1,1,1,2.0,2,4,0.0,2,3,3.0,5
5554,1.0,2,2.0,3,2,1.0,1,3,2.0,2.0,1.0,4,2,1,100.0,2,10,2,2.0,4,1,0.0,2,2,3.0,6
5615,0.0,8,2.0,2,2,2.0,1,3,1.0,1.0,3.0,4,10,2,85.0,1,2,1,2.0,1,1,2.0,2,5,3.0,6
5681,0.0,2,0.0,4,1,2.0,3,3,2.0,2.0,1.0,4,2,1,100.0,2,3,2,2.0,6,3,0.0,2,3,0.0,4
5710,1.0,7,9.0,9,5,1.0,2,2,1.0,2.0,5.0,4,7,4,80.0,1,1,4,2.0,6,3,0.0,2,4,3.0,6
5715,0.0,7,2.0,2,1,2.0,3,3,1.0,2.0,2.0,4,7,1,100.0,1,2,1,2.0,6,2,2.0,3,4,1.0,4
5726,0.0,4,2.0,4,1,2.0,2,3,2.0,2.0,3.0,4,5,3,100.0,2,2,2,2.0,6,1,0.0,2,4,3.0,5
5746,1.0,6,0.0,4,2,1.0,2,3,2.0,2.0,2.0,4,7,2,90.0,1,2,2,2.0,1,1,0.0,3,7,0.0,5
5776,1.0,2,2.0,5,2,1.0,1,3,2.0,2.0,2.0,4,3,1,100.0,1,1,3,2.0,5,1,0.0,2,4,3.0,9
5827,0.0,7,11.0,2,2,2.0,2,3,1.0,2.0,4.0,4,9,2,92.0,1,9,1,2.0,1,3,0.0,1,7,2.0,5
5829,0.0,5,2.0,3,1,2.0,3,3,1.0,2.0,3.0,4,2,3,33.0,1,3,2,2.0,1,1,0.0,3,4,2.0,4
5838,0.0,4,2.0,4,1,2.0,4,3,2.0,2.0,2.0,4,5,1,100.0,2,5,2,2.0,1,1,0.0,2,3,3.0,6
5853,0.0,2,2.0,2,1,1.0,2,3,2.0,2.0,1.0,4,4,1,70.0,2,2,1,2.0,4,4,2.0,2,3,4.0,8
5895,0.0,6,0.0,9,5,2.0,2,2,1.0,2.0,2.0,4,6,2,100.0,2,2,4,2.0,6,3,0.0,3,4,0.0,3
5920,1.0,7,2.0,5,2,1.0,1,2,1.0,2.0,2.0,4,8,5,90.0,2,10,3,2.0,6,3,0.0,2,3,4.0,5
5935,0.0,2,2.0,3,1,2.0,4,3,2.0,1.0,6.0,4,2,1,100.0,2,2,2,2.0,3,1,1.0,2,3,4.0,4
5950,0.0,2,11.0,3,1,2.0,2,3,2.0,2.0,2.0,4,3,1,100.0,1,2,2,2.0,6,3,0.0,2,2,2.0,7
5955,1.0,5,3.0,5,2,2.0,1,3,1.0,2.0,2.0,4,6,1,100.0,2,1,3,2.0,6,2,2.0,2,4,3.0,8
5972,1.0,7,11.0,5,2,1.0,2,3,2.0,2.0,2.0,4,7,6,70.0,1,1,3,2.0,6,1,0.0,2,4,4.0,6
5988,0.0,5,2.0,1,1,2.0,2,3,2.0,2.0,3.0,4,6,2,100.0,2,10,1,2.0,4,1,0.0,2,3,2.0,8
6018,0.0,2,8.0,3,1,2.0,3,3,2.0,2.0,2.0,4,4,1,100.0,2,3,2,2.0,4,1,0.0,1,3,1.0,7
6025,0.0,3,2.0,2,1,2.0,2,3,2.0,2.0,2.0,1,3,2,100.0,2,2,1,2.0,1,3,0.0,2,3,3.0,6
6050,1.0,6,2.0,5,2,1.0,2,3,2.0,2.0,2.0,4,6,5,40.0,1,2,3,2.0,6,3,0.0,2,5,4.0,6
6107,1.0,5,11.0,5,2,1.0,2,3,2.0,1.0,5.0,4,6,3,95.0,2,3,3,2.0,4,4,1.0,3,5,3.0,6
6111,0.0,2,0.0,3,1,2.0,4,3,2.0,2.0,3.0,4,2,2,100.0,1,2,2,2.0,6,1,0.0,3,4,0.0,2
6113,0.0,4,2.0,9,1,2.0,4,3,1.0,1.0,2.0,4,5,2,90.0,1,5,4,2.0,6,3,2.0,2,4,2.0,5
6128,1.0,2,3.0,2,1,1.0,2,2,2.0,2.0,6.0,4,2,1,100.0,2,3,1,2.0,4,3,0.0,2,3,1.0,3
6179,0.0,4,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,5,2,100.0,2,10,1,2.0,1,1,0.0,2,4,2.0,3
6238,1.0,4,0.0,5,2,1.0,2,3,0.0,0.0,2.0,4,5,2,95.0,2,3,3,0.0,5,3,0.0,2,3,0.0,10
6276,0.0,3,2.0,2,1,2.0,4,3,2.0,2.0,2.0,4,4,1,100.0,1,7,1,2.0,4,1,0.0,2,4,2.0,8
6305,0.0,7,2.0,2,1,2.0,2,1,2.0,2.0,3.0,4,7,9,30.0,1,2,1,2.0,6,6,0.0,3,4,5.0,7
6323,1.0,7,2.0,4,2,1.0,1,3,2.0,2.0,5.0,4,8,3,100.0,2,2,2,2.0,5,3,0.0,2,5,2.0,8
6350,0.0,5,2.0,2,2,2.0,2,3,2.0,2.0,4.0,4,6,7,100.0,1,2,1,2.0,4,1,0.0,2,7,3.0,1
6351,1.0,3,2.0,4,2,1.0,1,3,2.0,2.0,5.0,4,3,2,100.0,2,5,2,2.0,5,4,0.0,2,3,3.0,6
6363,1.0,8,0.0,5,2,1.0,1,3,1.0,2.0,2.0,4,8,994,70.0,1,1,3,2.0,1,6,0.0,2,5,0.0,5
6376,0.0,3,2.0,2,1,2.0,3,3,2.0,2.0,2.0,4,4,1,100.0,2,2,1,2.0,4,3,2.0,3,3,1.0,4
6475,1.0,4,9.0,6,2,2.0,1,3,1.0,2.0,1.0,4,5,4,80.0,1,10,3,2.0,7,3,0.0,2,4,3.0,2
6487,0.0,3,2.0,3,1,2.0,4,3,2.0,2.0,3.0,4,3,3,100.0,2,2,2,2.0,1,1,0.0,2,3,3.0,2
6529,0.0,3,1.0,5,2,2.0,3,3,2.0,2.0,3.0,4,5,4,50.0,2,1,3,2.0,6,1,0.0,2,4,4.0,4
6533,0.0,3,1.0,3,1,2.0,3,3,2.0,2.0,2.0,4,3,2,50.0,1,2,2,2.0,6,8,0.0,2,4,2.0,4
6550,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,2,1,100.0,1,2,4,2.0,6,3,2.0,2,7,3.0,6
6593,1.0,2,2.0,7,2,2.0,1,3,2.0,2.0,2.0,1,2,1,50.0,2,5,3,2.0,5,5,0.0,4,3,1.0,7
6610,0.0,2,8.0,7,2,1.0,1,3,2.0,2.0,2.0,4,2,1,100.0,2,2,3,2.0,6,1,0.0,2,3,4.0,5
6658,0.0,2,2.0,5,2,2.0,2,3,2.0,2.0,3.0,4,4,1,100.0,2,2,3,2.0,4,3,2.0,1,3,2.0,3
6678,1.0,7,2.0,3,1,1.0,3,2,2.0,1.0,5.0,4,8,5,75.0,1,2,2,2.0,6,2,0.0,2,4,3.0,8
6682,0.0,2,1.0,5,2,2.0,1,3,2.0,2.0,2.0,4,2,1,100.0,2,3,3,2.0,1,2,1.0,2,2,4.0,5
6703,1.0,7,2.0,9,5,1.0,3,3,1.0,2.0,2.0,4,9,8,70.0,2,2,4,2.0,1,1,0.0,1,4,3.0,1
